Energia,Ao_vivo,Tempo,Falado,Orgânico,Instrumental,Compasso,Dançabilidade,Tom,Duração,Força,Positividade,Modo,Tipo,Music_id,Playlist_name,Album_name,Artista,Music_name
0,0.964,0.106,167.024,0.0644,7.13e-05,0.0387,4,0.392,10,200547,0.5997220267,0.269,0,audio_features,0faXHILILebCGnJBPU6KJJ,Angry,Phobia (Clean Version),Breaking Benjamin,The Diary of Jane - Single Version
1,0.955,0.38,107.984,0.0653,0.000165,1.36e-05,4,0.533,8,216733,0.6525292741,0.55,1,audio_features,2yXyz4NLTZx9CLdXfLTp5E,Angry,Dear Agony,Breaking Benjamin,I Will Not Bow
2,0.939,0.623,150.184,0.113,0.00022,0.0,4,0.524,9,184867,0.6313933449,0.661,1,audio_features,1Vej0qeQ3ioKwpI6FUbRv1,Angry,Hybrid Theory (Bonus Edition),Linkin Park,Papercut
3,0.969,0.0787,95.136,0.0491,0.0014,1.32e-06,4,0.492,9,157333,0.6012429542,0.538,1,audio_features,3K4HG9evC7dg3N0R9cYqk4,Angry,Hybrid Theory (Bonus Edition),Linkin Park,One Step Closer
4,0.97,0.0994,94.952,0.212,0.03,0.0,4,0.512,8,200240,0.6392930749,0.427,0,audio_features,5egqKwgK5r5rvGD1LrtR7J,Angry,Hybrid Theory (Bonus Edition),Linkin Park,Points of Authority
5,0.864,0.209,105.143,0.0584,0.00958,0.0,4,0.556,3,216880,0.5087448196,0.4,0,audio_features,60a0Rd6pjrkxjPbaKzXjfq,Angry,Hybrid Theory (Bonus Edition),Linkin Park,In the End
6,0.908,0.671,133.063,0.184,0.0144,0.0,4,0.603,11,184640,0.5461349875,0.457,1,audio_features,5rAxhWcgFng3s570sGO2F8,Angry,Hybrid Theory (Bonus Edition),Linkin Park,A Place for My Head
7,0.863,0.639,110.018,0.0381,0.0046,0.0,4,0.496,9,185587,0.6199404868,0.243,1,audio_features,2nLtzopw4rPReszdYBJU6h,Angry,Meteora,Linkin Park,Numb
8,0.83,0.139,89.342,0.0421,0.00461,0.0,4,0.498,6,231480,0.552268153,0.453,0,audio_features,0M955bMOoilikPXwKLYpoi,Angry,Three Days Grace,Three Days Grace,I Hate Everything About You
9,0.741,0.273,160.515,0.0335,0.00804,0.0,4,0.416,7,202973,0.630884707,0.286,1,audio_features,5PZ2cqh9Yem2g6cTSOLllz,Angry,One-X,Three Days Grace,Pain
10,0.873,0.52,198.387,0.0567,0.00105,0.0,4,0.306,0,186373,0.6555412124,0.452,0,audio_features,7piw04hPQZ1OHZ9Fq9JOXR,Angry,One-X,Three Days Grace,Time of Dying
11,0.95,0.0377,178.018,0.0641,0.00021,0.0,4,0.376,9,179160,0.626109077,0.438,1,audio_features,6OMO6WdRhSfjMPAiPT94wH,Angry,Human,Three Days Grace,Painkiller
12,0.743,0.163,107.996,0.159,0.152,0.0,4,0.814,9,214587,0.7105587634,0.367,1,audio_features,0nhVrTiCGiGRCoZOJiWzm1,Angry,Danger (with Migos & Marshmello) [From Bright: The Album],Migos,Danger (with Migos & Marshmello)
13,0.417,0.113,141.023,0.0296,0.769,0.0,3,0.414,6,223613,0.4152885909,0.166,1,audio_features,5fEyUL1sp1cJC4YErd29I4,Angry,Division,10 Years,"So Long, Good-bye"
14,0.935,0.106,128.025,0.0619,0.00133,8.37e-06,4,0.532,0,241960,0.5755724525,0.309,1,audio_features,0uybt73QFXaLCoxuVf6fhm,Angry,3 Doors Down,3 Doors Down,It's Not My Time
15,0.937,0.129,95.961,0.0495,0.00324,0.000294,4,0.609,6,252933,0.7151547047,0.493,1,audio_features,55SUneDPq3ZOrJi8sVG78G,Angry,Moving Forward In Reverse: Greatest Hits,Saliva,Click Click Boom
16,0.924,0.537,151.99,0.064,0.0271,3.32e-06,4,0.558,9,186827,0.6066664805,0.567,0,audio_features,7s0lDK7y3XLmI7tcsRAbW0,Angry,Save Rock And Roll,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up)
17,0.849,0.242,142.791,0.0591,0.0565,1.84e-06,4,0.261,10,249280,0.5529680005,0.23,1,audio_features,7q096gH9G0OjuUduheqM4l,Angry,Human,Three Days Grace,Human Race
18,0.911,0.0627,137.011,0.0382,0.00554,0.0,4,0.453,2,186147,0.6475152482,0.218,0,audio_features,2iptAVf9jZerlywLwiGhak,Angry,Human,Three Days Grace,Fallen Angel
19,0.853,0.126,122.023,0.0339,0.000684,0.0,4,0.553,8,231400,0.6555412124,0.506,1,audio_features,56sk7jBpZV0CD31G9hEU3b,Angry,One-X,Three Days Grace,Animal I Have Become
20,0.778,0.163,149.864,0.0371,0.00838,0.0,4,0.433,2,209333,0.5834451043,0.217,0,audio_features,3HE50TVRquwXe9yv2HFoNL,Angry,One-X,Three Days Grace,Never Too Late
21,0.97,0.189,75.106,0.0668,1.29e-05,2.62e-06,4,0.402,2,200147,0.5930618664,0.476,0,audio_features,2UDumaw7osnyjH7RZ2DLpB,Angry,Human,Three Days Grace,I Am Machine
22,0.865,0.0982,138.017,0.0338,0.000821,0.0,4,0.512,7,222827,0.6204403012,0.529,1,audio_features,3pxCXv0NACYfYnLjFcQW5D,Angry,Saving Abel,Saving Abel,Addicted
23,0.574,0.19,100.021,0.0479,0.57,0.0,4,0.62,5,250173,0.4079434834,0.352,0,audio_features,5tz69p7tJuGPeMGwNTxYuV,Angry,Everybody,Logic,1-800-273-8255
24,0.977,0.509,96.027,0.0752,0.00473,0.0,4,0.478,8,182120,0.6948643007,0.482,1,audio_features,4yUUVfwvxtMecOQ2fI7a7j,Angry,The Paramour Sessions,Papa Roach,...To Be Loved
25,0.955,0.349,170.033,0.12,0.00116,0.0,4,0.359,4,230427,0.7653322249,0.446,0,audio_features,5pRElcsPZrgZXkoON2o5Go,Angry,Comatose,Skillet,Comatose
26,0.957,0.0789,134.992,0.0741,0.0431,0.0,4,0.64,8,178013,0.764187624,0.692,1,audio_features,2UREu1Y8CO4jXkbvqAtP7g,Angry,Awake,Skillet,Monster
27,0.967,0.336,142.018,0.0995,0.00791,0.0,4,0.533,1,186813,0.7461909887,0.782,1,audio_features,4CbKVDZkYKdv69I4bCaKUq,Angry,Awake,Skillet,Hero
